year,category,firstname,surname,gender,birthyear
1909,peace,Auguste Marie François,Beernaert,male,1829
1909,peace,Paul Henri Benjamin Balluet,d'Estournelles de Constant Baron de Constant de Rebecque,male,1852
1911,peace,Tobias Michael Carel,Asser,male,1838
1911,peace,Alfred Hermann,Fried,male,1864
1912,peace,Elihu,Root,male,1845
1913,peace,Henri,La Fontaine,male,1854
1919,peace,Thomas Woodrow,Wilson,male,1856
1920,peace,Léon Victor Auguste,Bourgeois,male,1851
1921,peace,Karl Hjalmar,Branting,male,1860
1921,peace,Christian Lous,Lange,male,1869
1922,peace,Fridtjof,Nansen,male,1861
1925,peace,Sir Austen,Chamberlain,male,1863
1925,peace,Charles Gates,Dawes,male,1865
1926,peace,Aristide,Briand,male,1862
1926,peace,Gustav,Stresemann,male,1878
1927,peace,Ferdinand,Buisson,male,1841
1927,peace,Ludwig,Quidde,male,1858
1929,peace,Frank Billings,Kellogg,male,1856
1930,peace,Lars Olof Jonathan (Nathan),Söderblom,male,1866
1931,peace,Jane,Addams,female,1860
1931,peace,Nicholas Murray,Butler,male,1862
1933,peace,Sir Norman,Angell (Ralph Lane),male,1872
1934,peace,Arthur,Henderson,male,1863
1935,peace,Carl,von Ossietzky,male,1889
1936,peace,Carlos,Saavedra Lamas,male,1878
1937,peace,Cecil of Chelwood Viscount,(Lord Edgar Algernon Robert Gascoyne Cecil),male,1864
1945,peace,Cordell,Hull,male,1871
1946,peace,Emily Greene,Balch,female,1867
1946,peace,John Raleigh,Mott,male,1865
1949,peace,Lord (John),Boyd Orr of Brechin,male,1880
1950,peace,Ralph,Bunche,male,1904
1951,peace,Léon,Jouhaux,male,1879
1952,peace,Albert,Schweitzer,male,1875
1953,peace,George Catlett,Marshall,male,1880
1957,peace,Lester Bowles,Pearson,male,1897
1958,peace,Georges,Pire,male,1910
1959,peace,Philip J.,Noel-Baker,male,1889
1961,peace,Dag Hjalmar Agne Carl,Hammarskjöld,male,1905
1964,peace,Martin Luther,King Jr.,male,1929
1968,peace,René,Cassin,male,1887
1970,peace,Norman E.,Borlaug,male,1914
1971,peace,Willy,Brandt,male,1913
1973,peace,Henry A.,Kissinger,male,1923
1974,peace,Seán,MacBride,male,1904
1974,peace,Eisaku,Sato,male,1901
1975,peace,Andrei Dmitrievich,Sakharov,male,1921
1976,peace,Betty,Williams,female,1943
1976,peace,Mairead,Corrigan,female,1944
1978,peace,Mohamed Anwar,al-Sadat,male,1918
1978,peace,Menachem,Begin,male,1913
1980,peace,Adolfo,Pérez Esquivel,male,1931
1982,peace,Alva,Myrdal,female,1902
1982,peace,Alfonso,García Robles,male,1911
1983,peace,Lech,Walesa,male,1943
1984,peace,Desmond Mpilo,Tutu,male,1931
1986,peace,Elie,Wiesel,male,1928
1987,peace,Oscar,Arias Sánchez,male,1941
1990,peace,Mikhail Sergeyevich,Gorbachev,male,1931
1992,peace,Rigoberta,Menchú Tum,female,1959
1993,peace,Nelson,Mandela,male,1918
1993,peace,Frederik Willem,de Klerk,male,1936
1994,peace,Yasser,Arafat,male,1929
1994,peace,Shimon,Peres,male,1923
1994,peace,Yitzhak,Rabin,male,1922
1995,peace,Joseph,Rotblat,male,1908
1996,peace,Carlos Filipe Ximenes,Belo,male,1948
1996,peace,José,Ramos-Horta,male,1949
1997,peace,Jody,Williams,female,1950
1998,peace,John,Hume,male,1937
1998,peace,David,Trimble,male,1944
1901,literature,Sully,Prudhomme,male,1839
1902,literature,Christian Matthias Theodor,Mommsen,male,1817
1903,literature,Bjørnstjerne Martinus,Bjørnson,male,1832
1904,literature,Frédéric,Mistral,male,1830
1904,literature,José,Echegaray y Eizaguirre,male,1832
1905,literature,Henryk,Sienkiewicz,male,1846
1906,literature,Giosuè,Carducci,male,1835
1907,literature,Rudyard,Kipling,male,1865
1908,literature,Rudolf Christoph,Eucken,male,1846
1909,literature,Selma Ottilia Lovisa,Lagerlöf,female,1858
1910,literature,Paul Johann Ludwig,Heyse,male,1830
1911,literature,Count Maurice (Mooris) Polidore Marie Bernhard,Maeterlinck,male,1862
1912,literature,Gerhart Johann Robert,Hauptmann,male,1862
1913,literature,Rabindranath,Tagore,male,1861
1915,literature,Romain,Rolland,male,1866
1916,literature,Carl Gustaf Verner,von Heidenstam,male,1859
1917,literature,Karl Adolph,Gjellerup,male,1857
1917,literature,Henrik,Pontoppidan,male,1857
1919,literature,Carl Friedrich Georg,Spitteler,male,1845
1920,literature,Knut Pedersen,Hamsun,male,1859
1921,literature,Anatole,France,male,1844
1922,literature,Jacinto,Benavente,male,1866
1923,literature,William Butler,Yeats,male,1865
1924,literature,Wladyslaw Stanislaw,Reymont,male,1867
1925,literature,George Bernard,Shaw,male,1856
1926,literature,Grazia,Deledda,female,1871
